,國家,日期,總死亡數
164017,台灣,2020-02-16,1
164018,台灣,2020-02-17,1
164019,台灣,2020-02-18,1
164020,台灣,2020-02-19,1
164021,台灣,2020-02-20,1
164022,台灣,2020-02-21,1
164023,台灣,2020-02-22,1
164024,台灣,2020-02-23,1
164025,台灣,2020-02-24,1
164026,台灣,2020-02-25,1
164027,台灣,2020-02-26,1
164028,台灣,2020-02-27,1
164029,台灣,2020-02-28,1
164030,台灣,2020-02-29,1
164031,台灣,2020-03-01,1
164032,台灣,2020-03-02,1
164033,台灣,2020-03-03,1
164034,台灣,2020-03-04,1
164035,台灣,2020-03-05,1
164036,台灣,2020-03-06,1
164037,台灣,2020-03-07,1
164038,台灣,2020-03-08,1
164039,台灣,2020-03-09,1
164040,台灣,2020-03-10,1
164041,台灣,2020-03-11,1
164042,台灣,2020-03-12,1
164043,台灣,2020-03-13,1
164044,台灣,2020-03-14,1
164045,台灣,2020-03-15,1
164046,台灣,2020-03-16,1
164047,台灣,2020-03-17,1
164048,台灣,2020-03-18,1
164049,台灣,2020-03-19,1
164050,台灣,2020-03-20,2
164051,台灣,2020-03-21,2
164052,台灣,2020-03-22,2
164053,台灣,2020-03-23,2
164054,台灣,2020-03-24,2
164055,台灣,2020-03-25,2
164056,台灣,2020-03-26,2
164057,台灣,2020-03-27,2
164058,台灣,2020-03-28,2
164059,台灣,2020-03-29,2
164060,台灣,2020-03-30,5
164061,台灣,2020-03-31,5
164062,台灣,2020-04-01,5
164063,台灣,2020-04-02,5
164064,台灣,2020-04-03,5
164065,台灣,2020-04-04,5
164066,台灣,2020-04-05,5
164067,台灣,2020-04-06,5
164068,台灣,2020-04-07,5
164069,台灣,2020-04-08,5
164070,台灣,2020-04-09,5
164071,台灣,2020-04-10,6
164072,台灣,2020-04-11,6
164073,台灣,2020-04-12,6
164074,台灣,2020-04-13,6
164075,台灣,2020-04-14,6
164076,台灣,2020-04-15,6
164077,台灣,2020-04-16,6
164078,台灣,2020-04-17,6
164079,台灣,2020-04-18,6
164080,台灣,2020-04-19,6
164081,台灣,2020-04-20,6
164082,台灣,2020-04-21,6
164083,台灣,2020-04-22,6
164084,台灣,2020-04-23,6
164085,台灣,2020-04-24,6
164086,台灣,2020-04-25,6
164087,台灣,2020-04-26,6
164088,台灣,2020-04-27,6
164089,台灣,2020-04-28,6
164090,台灣,2020-04-29,6
164091,台灣,2020-04-30,6
164092,台灣,2020-05-01,6
164093,台灣,2020-05-02,6
164094,台灣,2020-05-03,6
164095,台灣,2020-05-04,6
164096,台灣,2020-05-05,6
164097,台灣,2020-05-06,6
164098,台灣,2020-05-07,6
164099,台灣,2020-05-08,6
164100,台灣,2020-05-09,6
164101,台灣,2020-05-10,6
164102,台灣,2020-05-11,7
164103,台灣,2020-05-12,7
164104,台灣,2020-05-13,7
164105,台灣,2020-05-14,7
164106,台灣,2020-05-15,7
164107,台灣,2020-05-16,7
164108,台灣,2020-05-17,7
164109,台灣,2020-05-18,7
164110,台灣,2020-05-19,7
164111,台灣,2020-05-20,7
164112,台灣,2020-05-21,7
164113,台灣,2020-05-22,7
164114,台灣,2020-05-23,7
164115,台灣,2020-05-24,7
164116,台灣,2020-05-25,7
164117,台灣,2020-05-26,7
164118,台灣,2020-05-27,7
164119,台灣,2020-05-28,7
164120,台灣,2020-05-29,7
164121,台灣,2020-05-30,7
164122,台灣,2020-05-31,7
164123,台灣,2020-06-01,7
164124,台灣,2020-06-02,7
164125,台灣,2020-06-03,7
164126,台灣,2020-06-04,7
164127,台灣,2020-06-05,7
164128,台灣,2020-06-06,7
164129,台灣,2020-06-07,7
164130,台灣,2020-06-08,7
164131,台灣,2020-06-09,7
164132,台灣,2020-06-10,7
164133,台灣,2020-06-11,7
164134,台灣,2020-06-12,7
164135,台灣,2020-06-13,7
164136,台灣,2020-06-14,7
164137,台灣,2020-06-15,7
164138,台灣,2020-06-16,7
164139,台灣,2020-06-17,7
164140,台灣,2020-06-18,7
164141,台灣,2020-06-19,7
164142,台灣,2020-06-20,7
164143,台灣,2020-06-21,7
164144,台灣,2020-06-22,7
164145,台灣,2020-06-23,7
164146,台灣,2020-06-24,7
164147,台灣,2020-06-25,7
164148,台灣,2020-06-26,7
164149,台灣,2020-06-27,7
164150,台灣,2020-06-28,7
164151,台灣,2020-06-29,7
164152,台灣,2020-06-30,7
164153,台灣,2020-07-01,7
164154,台灣,2020-07-02,7
164155,台灣,2020-07-03,7
164156,台灣,2020-07-04,7
164157,台灣,2020-07-05,7
164158,台灣,2020-07-06,7
164159,台灣,2020-07-07,7
164160,台灣,2020-07-08,7
164161,台灣,2020-07-09,7
164162,台灣,2020-07-10,7
164163,台灣,2020-07-11,7
