site_id,statistic_yyy,people_total,area,population_density
新北市板橋區,106,551480,23.1373,23835
新北市三重區,106,387484,16.317,23747
新北市中和區,106,413590,20.144,20532
新北市永和區,106,222585,5.7138,38956
新北市新莊區,106,416524,19.7383,21102
新北市新店區,106,302089,120.2255,2513
新北市樹林區,106,184149,33.1288,5559
新北市鶯歌區,106,86593,21.1248,4099
新北市三峽區,106,114926,191.4508,600
新北市淡水區,106,169597,70.6565,2400
新北市汐止區,106,199321,71.2354,2798
新北市瑞芳區,106,40353,70.7336,570
新北市土城區,106,238067,29.5578,8054
新北市蘆洲區,106,201309,7.4351,27075
新北市五股區,106,84919,34.8632,2436
新北市泰山區,106,78911,19.1603,4118
新北市林口區,106,106101,54.1519,1959
新北市深坑區,106,23660,20.5787,1150
新北市石碇區,106,7683,144.3498,53
新北市坪林區,106,6528,170.835,38
新北市三芝區,106,23200,65.9909,352
新北市石門區,106,12286,51.2645,240
新北市八里區,106,38493,39.4933,975
新北市平溪區,106,4719,71.3382,66
新北市雙溪區,106,8939,146.2484,61
新北市貢寮區,106,12552,99.9734,126
新北市金山區,106,22015,49.2132,447
新北市萬里區,106,22296,63.3766,352
新北市烏來區,106,6320,321.1306,20
臺北市松山區,106,206988,9.2878,22286
臺北市信義區,106,225753,11.2077,20143
臺北市大安區,106,309969,11.3614,27283
臺北市中山區,106,230710,13.6821,16862
臺北市中正區,106,159608,7.6071,20981
臺北市大同區,106,129278,5.6815,22754
臺北市萬華區,106,191850,8.8522,21673
臺北市文山區,106,274424,31.509,8709
臺北市南港區,106,122155,21.8424,5593
臺北市內湖區,106,287771,31.5787,9113
臺北市士林區,106,288295,62.3682,4622
臺北市北投區,106,256456,56.8216,4513
桃園市桃園區,106,440840,34.8046,12666
桃園市中壢區,106,405216,76.52,5296
桃園市大溪區,106,94451,105.1206,899
桃園市楊梅區,106,167639,89.1229,1881
桃園市蘆竹區,106,161912,75.5025,2144
桃園市大園區,106,89281,87.3925,1022
桃園市龜山區,106,157633,72.0177,2189
桃園市八德區,106,198074,33.7111,5876
桃園市龍潭區,106,121822,75.2341,1619
桃園市平鎮區,106,224219,47.7532,4695
桃園市新屋區,106,48953,85.0166,576
桃園市觀音區,106,66472,87.9807,756
桃園市復興區,106,11505,350.7775,33
臺中市中區,106,18450,0.8803,20959
臺中市東區,106,75811,9.2855,8164
臺中市南區,106,125067,6.8101,18365
臺中市西區,106,115627,5.7042,20271
臺中市北區,106,147653,6.9376,21283
臺中市西屯區,106,227043,39.8467,5698
臺中市南屯區,106,168760,31.2578,5399
臺中市北屯區,106,274819,62.7034,4383
臺中市豐原區,106,166879,41.1845,4052
臺中市東勢區,106,50714,117.4065,432
臺中市大甲區,106,77761,58.5192,1329
臺中市清水區,106,86420,64.1709,1347
臺中市沙鹿區,106,92645,40.4604,2290
臺中市梧棲區,106,57993,16.6049,3493
臺中市后里區,106,54482,58.9439,924
臺中市神岡區,106,65553,35.0445,1871
臺中市潭子區,106,108288,25.8497,4189
臺中市大雅區,106,95203,32.4109,2937
臺中市新社區,106,24754,68.8874,359
